ÚČTOVNÁ ZÁVIERKA 2022
IČO: 46958819
Typ: IFRS
Stĺpce: Bežné účtovné obdobie (2022) | Predchádzajúce obdobie (2021)


--- TITULNÁ STRANA ---
Účtovná závierka k 31.12.2022
 Dokument: PDF veľkosť 145 KB
Stiahnuť
 Dokument: PDF veľkosť 175 KB
Stiahnuť
 Tlačová zostava: XLSX <200KB
Stiahnuť

--- STRANA AKTÍV ---
Označenie | STRANA AKTÍV | Číslo riadku | Bežné účtovné obdobie | Bezprostredne predchádzajúce účtovné obdobie
 |  |  |  | 
* | Výnosy z hospodárskej činnosti spolu súčet (r. 02 až r. 07) | 1 | 31348 | 14851
I. | Tržby z predaja tovaru (604, 607) | 2 | 2930 | 1356
II. | Tržby z predaja vlastných výrobkov a služieb (601, 602, 606) | 3 | 27754 | 13495
III. | Zmena stavu vnútroorganizačných zásob (+/-) (účtová skupina 61) | 4 |  | 
IV. | Aktivácia (účtová skupina 62) | 5 |  | 
V. | Tržby z predaja dlhodobého nehmotného majetku, dlhodobého hmotného majetku a materiálu (641, 642) | 6 |  | 
VI. | Ostatné výnosy z hospodárskej činnosti (644, 645, 646, 648, 655, 657) | 7 | 664 | 
* | Náklady na hospodársku činnosť spolu súčet (r. 09 až r. 17) | 8 | 27774 | 14491
A. | Náklady vynaložené na obstaranie predaného tovaru (504, (+/- ) 505A, 507) | 9 | 4150 | 902
B. | Spotreba materiálu, energie a ostatných neskladovateľných dodávok (501, 502, 503, (+/-) 505A) | 10 | 7340 | 3834
C. | Služby (účtová skupina 51) | 11 | 5296 | 1979
D. | Osobné náklady (účtová skupina 52) | 12 |  | 
E. | Dane a poplatky (účtová skupina 53) | 13 | 148 | 111
F. | Odpisy a opravné položky k dlhodobému nehmotnému majetku a dlhodobému hmotnému majetku (551, (+/-) 553) | 14 | 8391 | 6575
G. | Zostatková cena predaného dlhodobého majetku a predaného materiálu (541, 542) | 15 |  | 
H. | Opravné položky k pohľadávkam (+/- 547) | 16 |  | 
